"","djia","nasdaq","sp500","s.bio","s.cd","s.cs","s.energy","s.fin","s.hc","s.ind","s.mat","s.tech","s.util","gold.p","oil","usd","vix","brazil.us","canada.us","china.us","jap.us","mexico.us","skorea.us","swiss.us","us.euro","fedfunds","umsent","homep","unemply","bondhy","ust1","ust2","ust3","ust5","ust7","ust10","ust30","autosale"
"10-08",-0.0440701644203152,-0.083515386084278,-0.0486118233154091,-0.0452886211889406,-0.0405703568945303,-0.0187063921221163,-0.0502769360205852,-0.081403150287232,-0.0165876552909511,-0.0718503004058293,-0.0307714053962958,-0.0577492111547456,0.0143840407199636,0.054562772581239,-0.0918538895297824,0.0172596557935498,0.103017347049263,-0.00318961368553611,0.0331564313690759,0.00491886355973782,-0.0273282707856446,0.040688779930181,0.0134455807093511,-0.0252931771390812,-0.0283261091101189,0.0540672212702758,0.0160939830732631,-0.00776355455336654,0.010582109330537,-0.0693014658421237,-0.109199291964992,-0.175890666463664,-0.22825865198098,-0.180051408259416,-0.14595391262308,-0.108688305750501,-0.0487901641694321,0.0786129018272759
"10-09",0.0743830293820855,0.0814591141213466,0.0839284740895417,0.12392850161007,0.104554022739007,0.0586265151837023,0.0952699653995975,0.0588703009494088,0.0867585823834094,0.109094960610882,0.0746894985920235,0.110321180875028,0.0285371013407525,0.0609345477942884,0.105708015400698,-0.0430842987967651,-0.0945427200582905,-0.0329990218766526,-0.0331564313690759,-0.0172481938354853,-0.00680071821108736,-0.0418839156332602,-0.0495375218357206,-0.0342753262939406,0.0682264149458364,0,-0.0102116131701966,-0.0124820337879923,0,-0.104846244625664,0,-0.0800427076735365,-0.052643733485422,-0.0416726964005681,-0.0240975515790606,-0.0186921330121526,-0.0079260652724206,0.0568163604475784
"10-10",0.0301704481889201,0.082928292274528,0.0361930520991756,0.00285922605074363,0.0538937773764744,0.0314233729433016,0.055174271878154,0.0145278261639737,0.0220572750314961,0.0283663109425311,0.0597988227499316,0.0561687406890719,0.0107765338695334,0.0194510900651412,0.018587895768091,-0.0192192031082767,-0.111473866463119,0.00129632921341459,-0.0103516549364932,-0.00296380781574353,-0.0371971424163857,-0.022869811450902,-0.0142222263860377,0.00427307599014199,0.0213137728200728,0,-0.0073583849311871,-0.0102052342428783,-0.0105821093305369,-0.125848896452506,-0.122602322092332,-0.233614851181505,-0.26101382536962,-0.178075265912504,-0.102654154060083,-0.0423955589676856,0.0261795055817711,0.0699653092571996
"10-11",-0.0101670924085082,0.0169098719792231,-0.00229287643221121,-0.0043761241253594,0.0249276302711927,-0.015764945939821,0.0569240019746553,-0.00689161721597964,-0.029298997411642,0.0132739067020619,0.0111445868268927,-0.0165635194343137,-0.0307319873321229,0.0282124362718307,0.0322550157864449,0.0362782813182997,0.104699920154164,0.00961095067939238,0.00772506653018207,-0.000554818311239953,0.037556230336936,0.00907428944461895,0.0291095426483437,0.0136125116837812,-0.0637423312953739,0,0.0560088940483704,-0.00913216304094949,0.0416726964005681,0.0784716154414951,0.083381608939051,0.169076330043934,0.161641351556416,0.134590153972765,0.0879118723228799,0.0830665986986133,0.079446226892356,0.0201412007274351
"10-12",0.0499480802421003,0.102608853910676,0.0634472951092559,0.0701842892907801,0.0422781331945952,0.0427144422174662,0.087628598937547,0.100437134601257,0.0453219263348501,0.0709560276517925,0.0964340332450916,0.0552577640062316,0.0302616948200831,0.0261992375928724,0.0658972623950689,-0.0215387246044006,-0.295358016323885,-0.0304964865685613,-0.0253527759012297,-0.0101003346035431,-0.0228781993181807,-0.00575767097000458,-0.0232548288607897,-0.0636775998987275,0.0177157265789843,-0.0540672212702758,0.039704051418914,-0.00838401194881323,-0.0523679855173159,0.135887106316982,0.148420005118273,0.320471895274772,0.390427230743624,0.357415410466456,0.275228611380494,0.175656885048222,0.0534389621555603,0.0789036379100376
"11-01",0.0274695427397628,0.0285909636107991,0.0222021619754485,-0.0283913840406425,-0.00830336705020863,-0.0144383754238527,0.07080076521504,0.0290773946622112,0.00538055902680696,0.0396845076815865,0,0.0300746491340874,0.0123711892483853,-0.056845904071475,0.0126079971390313,-0.0152040335999667,0.108608659380342,0.00647290243247998,0.00109840741983707,0.000257542590635555,0.00366658929475499,-0.0186176240569873,-0.010223674417209,0.00351606563288757,0.0330596368352672,-0.0571584138399485,-0.00403497521217899,-0.0113490900731031,-0.021739986636406,0.0549337188178376,-0.0714589639821449,-0.0162605208717803,0.0396091380950459,0.0306146358196069,0.0223057575142982,0.0299423566150783,0.022372297754533,0.0407143564502895
"11-02",0.0277326219975799,0.155899906242929,0.0314565770776236,0.0122205921184524,0.0582490022757675,0.0286710029676837,0.0710963177240231,0.0270693812973852,0.0307716381480828,0.0210245987190681,0.0261887144095943,0.0216944999272939,0.0122201737700723,0.0556053190652226,0.0649917649286797,-0.0128267904566265,-0.0623221703880082,-0.00845911994422664,-0.0286500336600996,-0.00461550959802633,-0.000366054546214322,-0.00338730538860331,0.00410202108987542,-0.0103705425077247,0.00567109270381632,-0.0606246218164349,0.0435137861859665,-0.00941538769250094,-0.0110498361865849,-0.0933077316994526,0.0714589639821449,0.232931557680373,0.217301275689981,0.127230174547793,0.084557388028063,0.0545328790202501,0.0283552257551252,0.0358269528761935
"11-03",0.00760940147482587,-0.101832718453135,-0.00104786201951342,0.0649680550999917,-0.00583157653770445,0.0123822454957554,0.0186494296216468,-0.0250655946755213,0.0179238966853203,0.0220584967788577,0.0173891883802362,-0.015631024297498,0.0023102888526838,0.0149611168691595,0.089488567118475,-0.0097824243339765,-0.033807597619146,-0.0189149625848324,-0.00205613313931726,-0.00350620804941103,0.00995758075861745,-0.016313303925996,-0.0238197623455134,-0.016033275968619,0.0278828472190875,-0.133531392624522,-0.138150338480817,0.000362936889259458,0,-0.0297788753556112,-0.109199291964992,-0.0953101798043249,-0.0898563291218612,-0.0686768657962194,-0.0555698511548108,-0.0486505091171835,-0.0305700660846781,-0.0389621128878319
"11-04",0.0353726063850492,0.0527627329618058,0.0257989187249247,0.112628131161982,0.0384324970368105,0.0492355453542881,-0.00565827830991277,0.00121958311787334,0.0629138895727612,0.022832677991259,0.0170945834846698,0.0265066290199005,0.0375661038402077,0.0675476161012329,0.0566560432682979,-0.0313361278193582,-0.193431522559801,-0.0259367090531061,-0.0212176446329819,-0.00724946275324622,-0.0144833055648533,-0.0314017346088615,-0.0224417869256428,-0.0470661951230458,0.04156908899197,-0.336472236621213,0.0335064118898425,0.00985044651053069,0.0110498361865849,0.0657971745447673,-0.0392207131532814,0.0419641990990322,0.0336166107989851,0.0280392200643931,0.0141846349919564,0.0145562977742075,-0.00221975673831289,-0.00217092444549257
"11-05",-0.0152783326471696,-0.0652239663540005,-0.0112948994964848,0.00680127652079781,-0.00345631788580308,0.0276140165931254,-0.0280052992722775,-0.0353524018745429,0.0238205491214251,-0.0238948061986941,-0.0238640607480693,-0.011274244830057,0.0232984149589632,0.0039113478809121,-0.0900738687495395,0.0165138011417729,0.0552185490221221,-0.00233416501902058,0.0182287220264712,-0.00345157358289441,-0.00343853955400795,0.00262889513032848,0.00474220982624176,-0.0244493958329688,-0.0280530038231826,-0.105360515657826,0.0624769419553867,0.0109350070090757,-0.0110498361865849,0.0163746348717899,-0.27443684570176,-0.265107750413242,-0.252495763326737,-0.164961595931474,-0.123521299029422,-0.0875370011804436,-0.0477906638363484,-0.0598704113006165
"11-06",-0.0124440599698681,-0.00865809382189967,-0.0184261855179573,-0.0287177388376511,-0.00217907526671745,-0.0270092932668666,-0.0194088054573108,-0.0278381684074734,-0.0113037392961099,-0.00547209209031112,-0.004027529878613,-0.0251463945026082,-0.00143950593610789,-0.0190481949706945,-0.0747823062743561,-0.00504161146290608,0.0669627647490775,-0.0151460194595304,-0.00475945026736064,-0.00233347089757205,-0.00802820343542254,0.0120268767612148,-0.0109127604448087,-0.0132248946009039,0.010173450144409,0,-0.0384135020237515,0.00885296579906827,0.0110498361865849,0.0519891079376003,-0.0540672212702758,-0.311779624030842,-0.280614905228688,-0.152340724582019,-0.0917309355775442,-0.0551192992210796,-0.0140847398817389,0.0150212083928343
"11-07",-0.0220796196990933,-0.0498382105345894,-0.0217083563525996,-0.027175052434778,-0.0140246045912427,-0.0128908777881755,0.0144933626506252,-0.0364884560469725,-0.0404938244184048,-0.0712204901845761,-0.0351541356118852,0.00427112709005812,-0.00930247154577139,0.0677763935929508,0.00397947954216524,-0.0119465368747651,0.424254387628537,-0.00643295882005506,-0.0107398978203594,-0.00426373761172856,-0.0438544482135857,0.000375384987302611,-0.0116022619228262,-0.065323329197164,-0.00933907379228936,-0.251314428280906,-0.115512887121844,0.00276504680798807,-0.0110498361865849,-0.0267873159636498,0.0540672212702758,0,-0.0431721718652085,-0.0256424306133377,-0.004376374599799,0,0.00941183418234638,0.0623808710217849
"11-08",-0.0446018386189426,-0.0159131345879153,-0.0584675017537988,-0.119277354982611,-0.0538850544394118,0.00194435411016658,-0.107761488685112,-0.100865904187307,-0.021327677630523,-0.0680046547876325,-0.0728339536997027,-0.0545411622593244,0.0214742333274608,0.123567118994062,-0.0745100339319089,0.00807268153596509,0.224963676059957,0.0220841244670021,0.0252575273122206,-0.00908401882634823,-0.00884961527698261,0.0501317038937873,0.00934895142101283,0.0197254966554967,0.00125026063379363,0.356674943938732,-0.132410693190852,-0.00392822700293419,0,-0.0849567224759655,-0.54654370636807,-0.578077850775158,-0.581921545449721,-0.411979789129358,-0.335595428147678,-0.265703165733006,-0.156886659646133,-0.0700049591915029
"11-09",-0.0621812383502029,-0.0234900929082359,-0.0744671009598789,-0.0593682323268802,-0.0714447965950129,-0.0335112948423344,-0.155759093396603,-0.120936715081873,-0.0459186216265446,-0.0977234031145253,-0.180077752431627,-0.031176721716183,0.00215856353508524,-0.114161452552869,-0.117937872550102,0.0566656162422863,0.306479618419283,0.154358076681882,0.0601013686131029,3.13582840773133e-05,0.00703402665737998,0.110772496605878,0.104335458084916,0.11836344278681,-0.0687400326257592,-0.22314355131421,0.0642024431643188,-0.0114713431110227,0,-0.0402064204780405,-0.0953101798043248,-0.0909717782057268,-0.0822380982369721,-0.125163142954006,-0.137923143205502,-0.14981227822866,-0.137845970802315,-0.0807291234899046
"11-10",0.0911608779994536,0.0793110033908046,0.102306591858191,0.105175424982461,0.112733873398459,0.0454774031816999,0.175146166555686,0.133742709683433,0.0560725032990343,0.13430079078608,0.159876034986142,0.0972343192201127,0.0359319445583076,0.0531944939421555,0.166079036077253,-0.032637065920892,-0.36040629155159,-0.0876952117053918,-0.0449856864424744,-0.00365987198441252,0.0119993698316383,-0.0446339921502359,-0.060071700778783,-0.0385312956837136,0.0363596775351453,-0.133531392624522,0.0216134764205372,-0.0126227676551802,-0.0224728558520585,-0.0884109573440531,0.0953101798043247,0.287682072451781,0.294799540220645,0.163629423781802,0.131769277631123,0.0823709974331276,-0.0158481922400237,-0.115577322925769
"11-11",0.0075556520538435,0.0467917809020088,-0.00507155380952858,-0.0129407955921384,-0.00720126693263127,0.0273291631462289,0.0165035430274753,-0.0524635515031042,0.00948995938198927,0.0139656189740654,0.00202976971205166,-0.0151075488673807,0.0102772128709884,-0.00818239515493967,0.0741233017006575,0.0263363146266399,-0.0748271379524273,0.0650993984824985,0.0265278086224611,0.00342466088136417,-0.00501447530968744,0.0336810601102359,0.0248669622474046,0.0449210937824845,-0.0360623018731516,0.133531392624523,0.0465947736059964,-0.0126743671651533,-0.0229895182246988,-0.0969922659873096,0,-0.113328685307003,-0.186585955580412,-0.152579587595217,-0.11086259281181,-0.0673331200685871,-0.0357761731652836,0.0249534938995082
"11-12",0.0141681717045723,-0.0685844997549735,0.00849656568624073,0.0173177789739952,0.0129895163021046,0.0273262232292417,-0.0206346252674984,0.021108439849808,0.0292188825874256,0.00253935113019562,-0.0230569922984071,-0.00229160451933605,0.0327711269070979,-0.0790406668481817,-0.015362519110129,0.0138188845642586,-0.172299998332936,0.0302483618851634,-0.00304414238122824,-0.0130384471162623,-0.00776401415622099,0.0240045474476521,0.0160539437965734,0.0290063625879241,-0.0363318549145305,-0.133531392624522,0.0928810866616469,-0.0110152802296123,-0.0116960397631912,-0.0218417419150489,0.0870113769896297,0.0392207131532813,0,-0.0222231367847102,-0.0138891121606672,-0.0150378773645404,-0.0133335308694651,-0.00292574540071263
"12-01",0.0334310524855453,0.0101479799261046,0.0426600440016451,0.143030622432794,0.0572723906897844,-0.0142594990847107,0.0223152429575952,0.0783845196019214,0.0314966071777198,0.070631279651791,0.104225149579682,0.0602314570273656,-0.036800332097131,0.0987972652842581,-0.00375082805803802,-0.0100386256191096,-0.185403223331363,-0.0608695919598266,-0.0116728993820682,0.00223775873223677,-0.00834860053851644,-0.0678671140404025,-0.0287210005116725,-0.0165648619320118,0.0061477178177773,0.133531392624523,0.0704224642965458,-0.00738915045361832,-0.0238106486937184,-0.171653115477031,0,-0.0800427076735365,-0.0800427076735365,-0.0578195708888262,-0.0355909451027026,-0.00506330195654676,0.0166393190039647,0.064428958488816
"12-02",0.0249503073074564,0.061859770053308,0.0397873450206206,0.00325809667878365,0.0442622046455932,0.0367802852432844,0.057582778233284,0.048586769855342,0.0105584709393351,0.0275030020034141,-0.00566400931394509,0.0686228704946745,0.00603716212922279,0.0283626499081221,0.0839258443220972,-0.00665325772533668,-0.0533530273505612,-0.0218610003553082,-0.0184781316935381,-0.0023013143513693,0.0604859138042834,-0.0186999490843419,-0.00766902278395574,-0.0215981645561389,0.0231723226010225,0.22314355131421,0.00399202126953746,-0.00123809468592535,0,-0.0617957192684657,0.287682072451781,0.154150679827258,0.0540672212702758,-0.0119761910467156,-0.00727275932907958,0,0.0260601066698651,0.0460072795847316
